Date,ACN,ADBE,AMD,AKAM,APH,ADI,AAPL,AMAT,APP,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,DDOG,DELL,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PLTR,PANW,PTC,QCOM,ROP,CRM,STX,NOW,SWKS,SMCI,SNPS,TEL,TDY,TER,TXN,TRMB,TYL,VRSN,WDC,WDAY,ZBRA
2001-02-01,,290014600,130838700,45618200,168070400,71228000,7023766400,781639800,,,80913600,,34074100,,1960297500,23839200,340593200,,,,,15767000,4664932,,,3247600,248208000,,,315251533,163635088,909408600,153562800,52424000,,149973200,720460000,95576100,177916800,1536895600,,69111557,319154800,11644824000,,2252400.0,915545800,,,27996480,725867400,4508600,,,,20302300,,43179200,,4426900,49974100,245996000,28393800,445200,141835500,29646976,,23924025
2001-03-01,,261096200,184234500,66058700,282758400,89369500,10799062400,1175386600,,,91040000,,50567300,,2139003200,53872800,339003400,,,,,16687800,6001768,,,6183300,259581600,,,322081475,266259300,1421494900,262871800,59799300,,235955600,1232954000,117225600,250270200,1895349800,,78254410,232015000,28940472000,,4601000.0,1424631300,,,34128680,878145000,4110800,,,,28233100,,87679000,,2992900,67616900,279047100,24847200,1230900,195037300,32121120,,12217275
2001-04-01,,214509000,229970800,73920600,191500800,77229800,11158991200,1231616400,,,73429200,,45971700,,2144703300,85197600,277578100,,,,,14019400,5683168,,,4516300,303094400,,,336644623,236616603,1232602500,166665000,49049700,,214310600,1183168000,105433800,219829300,2075807000,,110563752,256800600,31102920000,,2319000.0,1124158500,,,30142120,786441400,4512200,,,,28298000,,73205200,,4605400,65772500,266287000,25475400,781500,213721600,39556244,,12171150
2001-05-01,,152148600,177020400,74255800,233776000,55628400,7468434400,838492000,,,62094800,,28899600,,2077138100,27564000,229328400,,,,,20418800,7250519,,,3317000,197854400,,,376391164,166686584,966714700,151104600,50841600,,152183100,787296000,91843800,173757600,1777305800,,53447373,250006000,28041600000,,4789200.0,1040007600,,,27393120,501794200,5342600,,,,20843100,,49708000,,3603200,55707900,176434000,19506600,2122100,175084700,18350014,,8859375
2001-06-01,,169421000,149482200,51798100,233561600,63666300,7638265600,754888800,,,62141200,,34402000,,1383830500,38404800,264911400,,,,,37086600,6174900,,,3542700,490355200,,,261156981,149504465,1008249200,121685000,51491300,,145699600,580423000,143031900,147413700,1449177800,,61804971,186152200,20156760000,,4137700.0,999939500,,,21102960,448537800,2702000,,,,18630600,,78479400,,1603400,50573400,187848000,15856800,941500,142591500,36626463,,6935175
2001-07-01,74421800.0,188806400,191377500,27810900,175104000,67807600,8655102400,661287400,,,62718000,,25711700,,1204422200,52178400,171796400,,,,,29745600,11954925,,,5562000,283047200,,,276267326,168423156,965577600,86705400,46106700,,159637000,531185000,164360400,168453600,1455201000,,74157108,145964200,21604512000,,3932100.0,663335400,,,34879680,547380000,3974800,,,,35745100,,48163800,,2354600,40568400,191570800,13133400,1303800,188007200,21388942,,12319650
2001-08-01,27745100.0,162557600,138484400,40644500,145731200,72474100,5129359200,608688400,,,75974800,,35394300,,1259794500,34596000,139064200,,,,,17162000,5535450,,,2430400,305504000,,,229498165,149997969,951559900,137880200,45366600,,169395800,435709000,126609000,148865800,1153896400,,54449574,204386900,29863464000,,4084400.0,862836000,,,30875200,479530800,3465400,,,,35966500,,58061400,,1972800,39379500,198364700,13012200,1848700,130225600,22603721,,7713900
2001-09-01,28650300.0,163922400,117454100,25301000,156857600,64517700,5531523200,692016600,,,49618000,,21034900,,1376553500,73238400,137549300,,,,,13839800,5475375,,,5222100,300808000,,,600883963,198020876,1066764600,87727800,43027900,,165360700,633972000,113341200,159620100,1510824400,,55658406,116074500,21169188000,,3593300.0,885814600,,,27272840,585614800,3690600,,,,47448100,,42838800,,3591700,37727800,216508900,12762000,1197000,218959600,17987243,,11197125
2001-10-01,38638600.0,223288400,119200700,29492700,206860800,100748700,7544247200,841131400,,,38957600,,37370800,,1993569500,85360800,223405800,,,,,30666200,13879800,,,3868700,691668000,,,489060459,234671667,1237428800,181750000,44612100,,237304500,835159000,191547300,163951300,1750891000,,80891672,248827700,26377200000,,8544000.0,1010548100,,,34469240,970498800,2975800,,,,63042900,,53245600,,3341000,83513000,259196900,30815400,1509000,304234100,33387362,,21091500
2001-11-01,28426700.0,154645800,144754800,45068300,130067200,80604500,5369744800,765541400,,,61245200,,33367700,,1643496100,30480000,359642300,,,,,37325400,6853725,,,3137900,330192000,,,513283998,141352568,1113379500,161123000,37727500,,206436700,538484000,141836700,178538300,1330968600,,62051899,295978500,28734600000,,8643100.0,835801200,,,21125040,633468600,5198600,,,,50138900,,40479000,,2379100,58614700,182133900,12053400,1173500,243310600,39408733,,8006625
