year,fempgr_gr,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1981,e) (-0.01 to 0.01),1238704,1340141,10126568,10123928,5720,0.427,3823,0.285,566269,118568,447701,1.171,5.593,560207,64726,495481,0.639,5.533,6062,0.060,11.067,0,0,0
1981,f) [0.01 to 0.2),295281,592783,23173987,22321726,29248,5.011,10928,1.872,2610294,660717,1949577,2.960,11.694,908531,213366,695165,0.956,4.070,1701763,7.624,8.140,0,0,0
1981,g) [0.2 to 0.8),587736,680239,9528486,8003236,19302,2.872,2976,0.443,3206947,366086,2840861,4.574,40.071,148739,47496,101243,0.593,1.858,3058208,38.212,3.717,0,0,0
1981,h) [0.8 to 2),130322,141385,2299689,1433352,4334,3.110,301,0.216,1749943,110448,1639495,7.706,122.087,8941,3568,5373,0.249,0.624,1741002,121.464,1.248,0,0,0
1981,i) 2,501781,504879,2843112,1421556,504879,200.000,0,0.000,2843112,2843112,0,200.000,200.000,0,0,0,0.000,0.000,2843112,200.000,0.000,0,0,0
1982,a) -2,0,0,0,1332630,0,0.000,512217,200.000,0,0,0,0.000,0.000,2665259,2665259,0,200.000,200.000,-2665259,-200.000,0.000,406314,412248,2221116
1982,b) (-2 to -0.8],146416,156054,660554,1601515,854,0.540,5018,3.173,11522,6956,4566,0.434,0.719,1904049,134347,1769702,8.389,118.890,-1892527,-118.171,1.439,0,0,0
1982,c) (-0.8 to -0.2],606964,698284,7055484,8688510,6373,0.909,12751,1.818,189185,87766,101419,1.010,2.177,3464398,265357,3199041,3.054,39.873,-3275213,-37.696,4.355,0,0,0
1982,d) (-0.2 to -0.01],287289,589679,23261728,24257727,19812,3.355,21386,3.622,1277232,430738,846494,1.776,5.265,3267459,494864,2772595,2.040,13.470,-1990227,-8.205,10.531,0,0,0
1982,e) (-0.01 to 0.01),1191567,1262528,8228472,8225404,5072,0.402,4092,0.324,262485,84159,178326,1.023,3.191,260184,56320,203864,0.685,3.163,2301,0.028,6.326,0,0,0
1982,f) [0.01 to 0.2),285023,562318,21300078,20467713,27467,4.957,11025,1.990,2506228,545791,1960437,2.667,12.245,846351,188259,658092,0.920,4.135,1659877,8.110,8.270,0,0,0
1982,g) [0.2 to 0.8),601620,699655,9468355,7942592,16607,2.395,4138,0.597,3226740,325707,2901033,4.101,40.626,165413,51047,114366,0.643,2.083,3061327,38.543,4.165,0,0,0
1982,h) [0.8 to 2),139606,156323,2401604,1511104,6716,4.384,487,0.318,1804177,151289,1652888,10.012,119.395,9726,3443,6283,0.228,0.644,1794451,118.751,1.287,0,0,0
1982,i) 2,483310,492010,2587877,1293939,492010,200.000,0,0.000,2587877,2587877,0,200.000,200.000,0,0,0,0.000,0.000,2587877,200.000,0.000,0,0,0
1983,a) -2,0,0,0,1256965,0,0.000,460674,200.000,0,0,0,0.000,0.000,2513930,2513930,0,200.000,200.000,-2513930,-200.000,0.000,363039,370051,2097247
1983,b) (-2 to -0.8],129262,139656,619519,1523871,1106,0.777,6522,4.581,15667,10523,5144,0.691,1.028,1835222,156576,1678646,10.275,120.432,-1819555,-119.404,2.056,0,0,0
1983,c) (-0.8 to -0.2],577542,693865,8256784,10137654,8495,1.216,18058,2.585,487377,108936,378441,1.075,4.808,4252871,581663,3671208,5.738,41.951,-3765494,-37.144,9.615,0,0,0
1983,d) (-0.2 to -0.01],288666,582688,21564007,22465256,20994,3.600,22106,3.790,1152796,382090,770706,1.701,5.131,2956053,470385,2485668,2.094,13.158,-1803257,-8.027,10.263,0,0,0
1983,e) (-0.01 to 0.01),1285149,1369885,8890983,8894313,6246,0.456,4695,0.343,338497,107119,231378,1.204,3.806,344107,86858,257249,0.977,3.869,-5610,-0.063,7.612,0,0,0
1983,f) [0.01 to 0.2),296082,561809,20296601,19532610,23866,4.291,12704,2.284,2491511,541193,1950318,2.771,12.756,963461,245757,717704,1.258,4.933,1528050,7.823,9.865,0,0,0
1983,g) [0.2 to 0.8),591935,686932,9437933,7931540,15916,2.337,4104,0.603,3257346,321144,2936202,4.049,41.068,236601,48192,188409,0.608,2.983,3020745,38.085,5.966,0,0,0
1983,h) [0.8 to 2),122992,132834,2102897,1318207,2987,2.271,370,0.281,1589521,87170,1502351,6.613,120.582,9781,3595,6186,0.273,0.742,1579740,119.840,1.484,0,0,0
1983,i) 2,538975,544281,2832268,1416134,544281,200.000,0,0.000,2832268,2832268,0,200.000,200.000,0,0,0,0.000,0.000,2832268,200.000,0.000,0,0,0
1984,a) -2,0,0,0,1243041,0,0.000,455937,200.000,0,0,0,0.000,0.000,2486082,2486082,0,200.000,200.000,-2486082,-200.000,0.000,364744,371117,2067676
1984,b) (-2 to -0.8],109498,116302,433968,1082422,381,0.322,4086,3.458,6264,3102,3162,0.287,0.579,1314937,87954,1226983,8.126,121.481,-1308673,-120.902,1.157,0,0,0
1984,c) (-0.8 to -0.2],497550,558835,4665733,5722468,4089,0.729,8019,1.430,134426,52491,81935,0.917,2.349,2258623,147922,2110701,2.585,39.469,-2124197,-37.120,4.698,0,0,0
1984,d) (-0.2 to -0.01],257545,455850,14629037,15187842,12408,2.717,14137,3.095,713262,233672,479590,1.539,4.696,1833453,295737,1537716,1.947,12.072,-1120191,-7.376,9.393,0,0,0
1984,e) (-0.01 to 0.01),1298288,1394871,9370931,9370322,4542,0.326,4775,0.342,332537,80640,251897,0.861,3.549,330951,79371,251580,0.847,3.532,1586,0.017,7.064,0,0,0
1984,f) [0.01 to 0.2),344934,746486,30149305,28968597,35776,4.851,17731,2.404,3896277,1012071,2884206,3.494,13.450,1537628,465087,1072541,1.605,5.308,2358649,8.142,10.616,0,0,0
1984,g) [0.2 to 0.8),716543,839425,13457580,11338456,17487,2.100,4109,0.493,4462601,473110,3989491,4.173,39.358,215647,64507,151140,0.569,1.902,4246954,37.456,3.804,0,0,0
1984,h) [0.8 to 2),161653,170634,2788759,1754947,2959,1.747,360,0.213,2088550,95560,1992990,5.445,119.009,7824,2563,5261,0.146,0.446,2080726,118.564,0.892,0,0,0
1984,i) 2,615174,620795,3159555,1579778,620795,200.000,0,0.000,3159555,3159555,0,200.000,200.000,0,0,0,0.000,0.000,3159555,200.000,0.000,0,0,0
