Date,ACN,ADBE,AMD,AKAM,APH,ADI,AAPL,AMAT,APP,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,DDOG,DELL,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PLTR,PANW,PTC,QCOM,ROP,CRM,STX,NOW,SWKS,SMCI,SNPS,TEL,TDY,TER,TXN,TRMB,TYL,VRSN,WDC,WDAY,ZBRA
2000-01-01,,13.264866400252137,14.0,207.5,0.8245843831871826,25.41163831088632,0.6491846156312358,20.141102858579877,,,6.665512789002713,,20.25,,31.631234016592643,1.3542016790671918,22.486427142386134,,,,,42.875,13.013680988876413,,,14.3125,2.0983640164825386,,,10.285092064841807,54.55750173947009,21.976859364416203,23.83090485093507,23.475224536398184,,25.45953633892002,2.8238398342371758,4.574084560641904,28.428647571352858,29.031723139386525,,99.78300211709073,25.116880889550536,0.06685651926792235,,,18.68853825153617,,,44.6875,32.88204838910441,13.847479539654552,,,,21.20896399199073,,20.8125,,8.9375,50.54968075402455,27.97409933846954,3.0208330154418945,4.3125,123.81096359004722,2.3442523804524495,,23.0
2000-02-01,,13.683759107309228,17.5,216.0,0.8908917736610173,27.718277411165225,0.7279872987801173,24.178411464867104,,,7.22227199261005,,17.6875,,35.635964987463986,1.4098539649461026,31.669299674772592,,,,,44.5,12.585245131078679,,,12.625,2.1773345662758423,,,10.590591297525988,50.23395413959813,27.444444690130457,22.617298171633767,24.736277926193498,,30.169377245134417,3.476584842124076,4.879023237588479,29.526752372582756,26.966219081745283,,112.62590190363227,37.188748176524186,0.0682887105741121,,,20.041317409939236,,,52.65625,37.376581542687546,11.329102509612337,,,,32.69714884238668,,18.4375,,8.625,58.610006463938745,32.73911397344103,3.0833330154418945,3.875,131.19951778909436,2.3820624110192083,,25.0
2000-03-01,,19.11382064519472,19.25,155.0,0.9980016118702223,41.21220374255447,0.8555731375123967,29.576582789737287,,,10.062831724083031,,19.0,,40.433487988520554,1.670723621077071,36.45856566812954,,,,,31.0625,10.85844015823844,,,13.25,2.8485855227103842,,,12.627244457296458,49.57063969236373,31.82096199964472,20.079745308010057,26.91890146001915,,37.08594553123949,3.575916388747801,6.556186604122632,44.50365139567663,27.214837321113137,,118.28087674193361,48.93622987868203,0.10983553574824552,,,27.206108377302428,,,50.9375,37.979720999077806,10.957648971023701,,,,38.37812042236328,,19.0,,8.375,65.86424222806605,44.47031558454037,3.7916669845581055,4.25,119.06118488630723,2.6089251237465714,,17.69444465637207
2000-04-01,,21.91179069105045,25.5,56.625,1.2309262587345078,33.25423242989549,0.7870899750239538,28.306426158926104,,,8.279927803561431,,13.0,,35.81891436573619,0.8997098867151436,28.078343523008698,,,,,18.5,10.447673679205735,,,12.4375,2.2168204983657667,,,12.329572867366062,50.442523789541596,30.791036200676135,13.239390762992528,21.826135892809535,,28.78607571304143,2.8841477481160487,6.037789116302464,45.05270419970068,19.889977021029345,,88.21625851136815,30.492452542457354,0.10888014503631137,,,24.118473957440553,,,18.4375,28.71828008206502,12.549566645470875,,,,27.268664745184093,,18.5,,13.3125,64.42493629022078,39.65801525335539,3.0,5.0,76.84089662013032,3.3273261258850493,,19.44444465637207
2000-05-01,,25.232700169980028,33.0,58.875,1.1748204046214787,33.21578622793223,0.6135363055198203,24.97223761124525,,,7.867548197257419,,13.25,,32.52568501410709,1.7321727056401741,34.3604778863226,,,,,14.1875,11.662104270392042,,,11.375,2.453732229910876,,,11.539465618903145,50.81618007683433,29.86767422095277,11.36381077601992,23.32969971552287,,21.079043067268284,1.9795256462705704,5.48890106400005,49.841647627952376,18.47472789737728,,72.77314241315968,36.14606467705843,0.144218764583331,,17.8125,23.29803388844366,,,19.921875,18.67855265989142,13.216175755710466,,,,30.197525231453266,,18.625,,10.75,59.87659143847089,37.19493887746211,4.5833330154418945,3.1875,84.01835225141389,2.60892600628867,,20.0
2000-06-01,,27.87080484536978,37.46875,71.5,1.2649293453938404,43.9032860743372,0.6032168233398634,31.028192138671876,,,8.10962846085832,,16.0,,37.648484761736036,1.205796559820451,41.78976237773895,,,,,16.4375,11.88203521608224,,,11.375,2.346557751807309,,,11.622296398254626,52.62326953320285,35.27461124971237,15.52869926982776,29.295537160829614,,26.579357346704697,2.852219503586245,6.586683165308659,69.79051456492026,19.52659572809935,,73.30197089782648,49.95571787460991,0.21847635849866529,,19.5625,29.46075058267019,,,23.75,17.900285085042317,10.68994142951035,,,,33.530358930006095,,17.1875,,13.0625,67.4187585804738,42.02796932216988,6.6770830154418945,2.5625,116.95018286340297,2.3820625281322805,,18.72222137451172
2000-07-01,,25.57925063553856,34.0,72.5,1.315934764745276,35.983768370093365,0.7035968207774383,26.1289977524583,,,4.765919274677431,,19.3125,,39.6000242041995,1.1478256016606452,48.78655792105655,,,,,19.125,12.50740508236209,,,11.8125,2.087081734727069,,,13.470782169933928,49.87987710910952,36.588962533500755,14.232340188587413,36.182885864105415,,25.06429764922236,2.2136615725936717,6.213129365272755,73.75588139727071,20.578472557511837,,75.13343726741284,53.75569211477123,0.19101750636434467,,19.375,28.483729279249385,,,22.890625,16.032431241752324,10.211285759420957,,,,23.733839577491132,,15.1875,,16.5,51.18298292160034,34.56578828507111,6.7083330154418945,2.5,127.08304175564321,2.1551997922209165,,18.61111068725586
2000-08-01,,26.820962993915266,27.0,60.6875,1.380541471010389,34.48443417549134,0.6641954526696497,23.49795036122559,,,4.970892706976997,,19.3125,,38.055051209496675,1.4562309924886472,49.86646043111149,,,,,20.25,12.900490201781047,,,12.25,1.9291416900074674,,,13.993918488887102,54.992565821872915,34.35098027466534,15.170133586716302,34.145787718949045,,21.6060147530692,1.6708896691836894,6.967848945991135,71.25464803309528,20.846222200453443,,84.50529975964045,51.670332525530426,0.20629910728398865,,16.25,28.709186939357483,,,24.53125,17.06364126743006,11.170177645664879,,,,20.80498435624322,,12.96875,,14.6875,42.31663878379485,32.7979668320788,5.3333330154418945,1.875,115.15580591265321,2.1551999377992295,,21.61111068725586
2000-09-01,,30.173580003821332,23.0,45.5,1.4553485192610793,48.59347511130157,0.3808801556296597,21.133418859998343,,,5.940822404006433,,20.6875,,35.53431632615862,1.1686945878542385,61.1634987216568,,,,,16.5,11.38641076664417,,,11.625,1.748637089675123,,,12.293723734884898,55.054090685831916,23.523826776949086,22.17598282663446,42.00317759240776,,20.94729275044975,1.702817205172866,5.408853554913595,43.436055556587554,17.93923383327346,,69.25621857957982,75.25796400974262,0.23877256979037256,,10.125,29.96178039066375,,,26.40625,18.055935080009593,12.929683459007135,,,,26.460706252351812,,17.8125,,19.8125,32.18367542539324,28.77557204397101,3.2291669845581055,1.75,135.1048938406356,2.9492205356502943,,19.44444465637207
2000-10-01,,30.535720047837117,16.1875,35.0,1.360138985715877,36.137558276836685,0.2626759629895995,14.697561789119945,,,4.713254777297758,,21.125,,29.435737910790674,1.23826002456398,39.38975315467984,,,,,11.1875,10.921664196294502,,,7.625,1.4186526228279837,,,10.790118283482318,43.4128352808584,19.899313184950085,17.873179857752696,30.265573725120653,,13.437894161880127,1.1866509808360792,4.322508180263711,27.330548403074417,14.821855126188801,,50.89287260126976,75.90675241806927,0.20080704639502162,,9.1875,24.25000222524007,,,22.96875,19.651402912181087,12.716407947880882,,,,18.078119092600474,,15.65625,,19.875,21.187110351562502,21.65904206682922,2.8958330154418945,1.25,97.79272444681688,2.8735994876394617,,16.88888931274414
